state,state_name,class_year,projected_high_school_graduates,source_status,change_from_2026,pct_change_from_2026,share_of_national_pool
SD,South Dakota,2026,10613,Projection,0,0.0,0.0027586920373797183
SD,South Dakota,2030,10677,Projection,64,0.006030340148873936,0.0029163692800361863
SD,South Dakota,2035,11196,Projection,583,0.05493262979364921,0.0030550398333971844
SD,South Dakota,2041,10357,Projection,-256,-0.024121360595496077,0.003025345189344779
TN,Tennessee,2026,74939,Projection,0,0.0,0.01947928225659085
TN,Tennessee,2030,74906,Projection,-33,-0.0004403581579685012,0.020460200177052596
TN,Tennessee,2035,79662,Projection,4723,0.06302459333591326,0.02173727967203345
TN,Tennessee,2041,81459,Projection,6520,0.08700409666528786,0.023794688981252907
TX,Texas,2026,410890,Projection,0,0.0,0.1068047650276974
TX,Texas,2030,399411,Projection,-11479,-0.027936917423154628,0.10909712189833597
TX,Texas,2035,410286,Projection,-604,-0.0014699797999464526,0.11195427590971752
TX,Texas,2041,414861,Projection,3971,0.009664387062230828,0.12118352134756825
UT,Utah,2026,50201,Projection,0,0.0,0.01304900583892389
UT,Utah,2030,48443,Projection,-1758,-0.03501922272464697,0.013231963756934811
UT,Utah,2035,48337,Projection,-1864,-0.03713073444752102,0.013189662417552673
UT,Utah,2041,44908,Projection,-5293,-0.10543614669030499,0.013117910762102477
VA,Virginia,2026,102981,Projection,0,0.0,0.026768384500273322
VA,Virginia,2030,100188,Projection,-2793,-0.02712150785096279,0.027365852339446047
VA,Virginia,2035,102267,Projection,-714,-0.00693331779648676,0.02790548040746962
VA,Virginia,2041,93984,Projection,-8997,-0.0873656305532089,0.02745332067928741
VT,Vermont,2026,5851,Projection,0,0.0,0.0015208807227653567
VT,Vermont,2030,5518,Projection,-333,-0.056913348145616105,0.0015072141694520628
VT,Vermont,2035,5504,Projection,-347,-0.05930610152110749,0.0015018702432134784
VT,Vermont,2041,4921,Projection,-930,-0.15894718851478384,0.0014374552164493249
WA,Washington,2026,83554,Projection,0,0.0,0.021718623809594363
WA,Washington,2030,79259,Projection,-4295,-0.05140388251908945,0.02164920040895271
WA,Washington,2035,80777,Projection,-2777,-0.033235991095578954,0.0220415284585856
WA,Washington,2041,73935,Projection,-9619,-0.11512315388850325,0.021596881005523438
WI,Wisconsin,2026,67781,Projection,0,0.0,0.017618666257008826
WI,Wisconsin,2030,63368,Projection,-4413,-0.06510674082707546,0.01730865304273982
WI,Wisconsin,2035,62090,Projection,-5691,-0.08396158215429106,0.01694242794351833
WI,Wisconsin,2041,56910,Projection,-10871,-0.16038417845708974,0.01662377085310528
WV,West Virginia,2026,17352,Projection,0,0.0,0.004510395197645611
WV,West Virginia,2030,16084,Projection,-1268,-0.07307514983863528,0.004393264353292312
WV,West Virginia,2035,15092,Projection,-2260,-0.13024435223605346,0.004118136938695097
WV,West Virginia,2041,13388,Projection,-3964,-0.22844628861226368,0.003910719454952969
WY,Wyoming,2026,6259,Projection,0,0.0,0.001626934275130468
WY,Wyoming,2030,5873,Projection,-386,-0.06167119348138683,0.0016041806482769057
WY,Wyoming,2035,5466,Projection,-793,-0.12669755552005113,0.0014915012262726878
WY,Wyoming,2041,4709,Projection,-1550,-0.24764339351334075,0.001375528675931695
