state,state_name,from_stage,to_stage,n_years,median_ratio,pre_covid_median,recent_median,median_absolute_deviation,min_ratio,max_ratio
NM,New Mexico,Grade 4,Grade 5,14,0.9965667627635306,0.9958266939828515,1.0028749028749029,0.005277956693589381,0.9666762779585616,1.0152593189242405
NM,New Mexico,Grade 5,Grade 6,14,0.991940767277175,0.9886990184960701,0.996158527308687,0.005097460649663432,0.9674595180909584,1.0041706490572595
NM,New Mexico,Grade 6,Grade 7,14,0.9995676318835758,0.9994797086368367,1.0041643309041404,0.004174628636562261,0.975105952426406,1.0076888098879748
NM,New Mexico,Grade 7,Grade 8,14,0.9980105054123768,0.9978447431325679,0.9982611444830857,0.0047901600406043965,0.9825038284839204,1.0081063011866955
NM,New Mexico,Grade 8,Grade 9,14,1.1724058535315098,1.169411387586649,1.1682777509263735,0.026519670722084276,1.0987654320987654,1.2195272100467864
NM,New Mexico,Grade 9,Grade 10,14,0.8855739719188509,0.8846917151602812,0.9007082252296473,0.01000878863142779,0.8662309219081514,0.9401109190435033
NM,New Mexico,Grade 10,Grade 11,14,0.8718577790522057,0.8697833612072654,0.8925262748151032,0.022446144384958677,0.8322558693433141,0.9142732983052186
NM,New Mexico,Grade 11,Grade 12,14,0.934106455978575,0.9339056963750341,0.94537210620395,0.01139183161787749,0.9089268798773061,0.9580880108159973
NV,Nevada,Grade 1,Grade 2,14,1.003370080123987,1.003300874731804,1.009384655366579,0.007244619792965423,0.960207707023777,1.014135162261626
NV,Nevada,Grade 2,Grade 3,14,1.0068834088834717,1.0072005421584684,1.00888303997368,0.004279478647047252,0.9636712328767123,1.0215877052352258
NV,Nevada,Grade 3,Grade 4,14,1.008636225686863,1.0092264401093103,1.0092264401093103,0.005627047090953741,0.9704875264960052,1.0225686170063641
NV,Nevada,Grade 4,Grade 5,14,1.0107945980622297,1.0119837427529734,1.0103044739022369,0.004890865575013392,0.9750262952075298,1.0236373165618449
NV,Nevada,Grade 5,Grade 6,14,1.012092597919457,1.0182786339665149,1.0112756906360514,0.007900176208018528,0.9837437119406937,1.0293050213964574
NV,Nevada,Grade 6,Grade 7,14,1.0122172184343792,1.0143405957267655,1.0091236946926472,0.006025548471630282,0.9890527596168466,1.0219403026059257
NV,Nevada,Grade 7,Grade 8,14,1.0049930995822165,1.006381488495162,1.0050986420702024,0.008763541149080845,0.9807624322413386,1.0209889921861632
NV,Nevada,Grade 8,Grade 9,14,1.0086088704071863,1.0089202152550305,1.0074473055044106,0.0026859090583342127,0.9808396813397685,1.0155174815433905
NV,Nevada,Grade 9,Grade 10,14,0.9979463398367378,1.0005507725309448,0.9962964995061999,0.0049643145196104355,0.8219210879141927,1.0137542611531052
NV,Nevada,Grade 10,Grade 11,14,0.981811137800841,0.9812582879033447,0.9841961106546152,0.006710365864635803,0.8596306685366993,0.9944049556107448
NV,Nevada,Grade 11,Grade 12,14,0.9671195994874068,0.9668890460233037,0.952681218000539,0.00770714768734071,0.928840557512636,1.0086729931549472
NY,New York,Grade 1,Grade 2,14,0.9895485328757145,0.9900224797657832,0.9890745859856458,0.004456879410202119,0.9705023885768281,1.021397627434309
NY,New York,Grade 2,Grade 3,14,0.9892512749710913,0.9894479468304989,0.9882009169227669,0.0035621526951388205,0.9692969960060712,1.034062031328112
NY,New York,Grade 3,Grade 4,14,0.9943121671623778,0.9948865142647388,0.9930621616371904,0.0035044046081556535,0.9767515477345733,1.0403861658796059
NY,New York,Grade 4,Grade 5,14,1.000125316463685,1.0011124291810847,0.9961661942428605,0.0035091661268960017,0.9809731225498988,1.0428380187416333
NY,New York,Grade 5,Grade 6,14,0.9981006809735296,0.999869231078743,0.99443820950073,0.003274137220799278,0.9770936938442893,1.0483328876514664
NY,New York,Grade 6,Grade 7,14,1.0023632826252111,1.0054432387522345,0.9994565646984428,0.003222869663247474,0.983446732961834,1.0527397616693552
NY,New York,Grade 7,Grade 8,14,1.0016318070291605,1.0033763938731286,0.9994335280580634,0.004056581926769998,0.988420562733334,1.0479376671466776
NY,New York,Grade 8,Grade 9,14,1.1034558617706078,1.1106345178910586,1.0533499838783145,0.01839889013267859,1.0403447120984148,1.1846595198550507
NY,New York,Grade 9,Grade 10,14,0.9591591158620685,0.952871858054026,0.9606513331597932,0.007833792643085646,0.926297901266038,0.994846958049824
NY,New York,Grade 10,Grade 11,14,0.9110743361526894,0.9008304540219434,0.9247899339486712,0.014338193547866085,0.8428416,0.9442454243470332
NY,New York,Grade 11,Grade 12,14,0.9828945309998898,0.9835659251670056,0.9852947957923646,0.0060248679223972035,0.9655312061799829,1.0009420631182289
OH,Ohio,Grade 1,Grade 2,14,0.9885798739716422,0.9875981126253922,0.9921704031512911,0.0041826882244099806,0.9732333531366913,1.0008640897968961
OH,Ohio,Grade 2,Grade 3,14,1.0017169937872927,1.0123290280793995,1.0025430748840292,0.009641891850644235,0.9822403032382446,1.0305536574063165
