major_4digit,major_name,count_2013,count_2023,gross_change,pct_change,low_base_flag
2614,Molecular Medicine,51.0,130.0,79.0,154.90196078431373,False
3016,Accounting and Computer Science,51.0,55.0,4.0,7.8431372549019605,False
4505,Demography,50.0,76.0,26.0,52.0,False
4808,Boilermaking/Boilermaker,36.0,41.0,5.0,13.88888888888889,True
1440,Paper Science and Engineering,30.0,48.0,18.0,60.0,True
3021,Holocaust and Related Studies,27.0,67.0,40.0,148.14814814814815,True
1434,Forest Engineering,27.0,57.0,30.0,111.11111111111111,True
3029,Maritime Studies,21.0,68.0,47.0,223.80952380952382,True
4800,PRECISION PRODUCTION,20.0,55.0,35.0,175.0,True
1610,"American Indian/Native American Languages, Literatures, and Linguistics",19.0,48.0,29.0,152.63157894736844,True
1602,"African Languages, Literatures, and Linguistics",16.0,8.0,-8.0,-50.0,True
1608,"Iranian/Persian Languages, Literatures, and Linguistics",12.0,8.0,-4.0,-33.33333333333333,True
5221,Telecommunications Management,10.0,58.0,48.0,480.0,True
1607,"South Asian Languages, Literatures, and Linguistics",9.0,26.0,17.0,188.88888888888889,True
1615,"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics",8.0,1.0,-7.0,-87.5,True
1613,"Celtic Languages, Literatures, and Linguistics",7.0,3.0,-4.0,-57.14285714285714,True
1606,Modern Greek Language and Literature,7.0,4.0,-3.0,-42.857142857142854,True
1444,Engineering Chemistry,5.0,27.0,22.0,440.00000000000006,True
1614,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics",5.0,45.0,40.0,800.0,True
3046,History and Political Science,0.0,68.0,68.0,,True
3043,Geobiology,0.0,0.0,0.0,,True
3042,Geoarcheaology,0.0,1.0,1.0,,True
3041,Environmental Geosciences,0.0,102.0,102.0,,True
3040,Economics and Foreign Language/Literature,0.0,12.0,12.0,,True
3039,Economics and Computer Science,0.0,89.0,89.0,,True
3038,Earth Systems Science,0.0,25.0,25.0,,True
3036,Cultural Studies and Comparative Literature,0.0,40.0,40.0,,True
3035,Climate Science,0.0,110.0,110.0,,True
3034,Anthrozoology,0.0,47.0,47.0,,True
3071,Data Analytics,0.0,7294.0,7294.0,,True
3048,Linguistics and Computer Science,0.0,4.0,4.0,,True
3049,Mathematical Economics,0.0,139.0,139.0,,True
3051,"Philosophy, Politics, and Economics",0.0,153.0,153.0,,True
3052,Digital Humanities and Textual Studies,0.0,54.0,54.0,,True
3053,Thanatology,0.0,8.0,8.0,,True
3070,Data Science,0.0,4416.0,4416.0,,True
3045,History and Language/Literature,0.0,1.0,1.0,,True
3908,Religious Institution Administration and Law,0.0,56.0,56.0,,True
0182,Veterinary Administrative Services,0.0,113.0,113.0,,True
