path,uncompressed_size_bytes,compressed_size_bytes,is_directory
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-54.csv,2007215,226929,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-55.csv,2504191,322291,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-56.csv,755573,92588,False
The Enrollment Squeeze - Copy/sources/raw/scorecard/CollegeScorecardDataDictionary.xlsx,727278,418431,False
The Enrollment Squeeze - Copy/sources/raw/scorecard/scorecard_elements_march_2024.csv,4838058,950810,False
The Enrollment Squeeze - Copy/sources/raw/scorecard/scorecard_finance_snapshot_april_2022.csv,25797046,6993779,False
The Enrollment Squeeze - Copy/sources/raw/wiche/wiche_knocking_11th.xlsx,12226543,8705285,False
The Enrollment Squeeze - Copy/sources/raw_data_notes.md,480,327,False
The Enrollment Squeeze - Copy/sources/source_manifest.csv,1532,831,False
The Enrollment Squeeze - Copy/styles.css,9580,2923,False
The Enrollment Squeeze - Copy/tests/filter_logic.test.js,1205,464,False
The Enrollment Squeeze - Copy/tests/institutional_metrics_v2_test.py,2151,822,False
The Enrollment Squeeze - Copy/tests/__pycache__/institutional_metrics_v2_test.cpython-313.pyc,4399,2184,False
The Enrollment Squeeze - Copy/VALIDATION_PHASE3_5.md,611,404,False
The Enrollment Squeeze - Copy/site/.github/workflows/,0,0,True
The Enrollment Squeeze - Copy/sources/raw/census_single_age/,0,0,True
The Enrollment Squeeze - Copy/sources/raw/scorecard/,0,0,True
The Enrollment Squeeze - Copy/sources/raw/wiche/,0,0,True
The Enrollment Squeeze - Copy/data/generated/,0,0,True
The Enrollment Squeeze - Copy/data/phase1/,0,0,True
The Enrollment Squeeze - Copy/data/phase2/,0,0,True
The Enrollment Squeeze - Copy/data/phase3/,0,0,True
The Enrollment Squeeze - Copy/data/phase4/,0,0,True
The Enrollment Squeeze - Copy/data/phase5/,0,0,True
The Enrollment Squeeze - Copy/scripts/__pycache__/,0,0,True
The Enrollment Squeeze - Copy/site/.github/,0,0,True
The Enrollment Squeeze - Copy/sources/raw/,0,0,True
The Enrollment Squeeze - Copy/tests/__pycache__/,0,0,True
The Enrollment Squeeze - Copy/assets/,0,0,True
The Enrollment Squeeze - Copy/dashboards/,0,0,True
The Enrollment Squeeze - Copy/data/,0,0,True
The Enrollment Squeeze - Copy/downloads/,0,0,True
The Enrollment Squeeze - Copy/financial_model/,0,0,True
The Enrollment Squeeze - Copy/scripts/,0,0,True
The Enrollment Squeeze - Copy/site/,0,0,True
The Enrollment Squeeze - Copy/sources/,0,0,True
The Enrollment Squeeze - Copy/tests/,0,0,True
The Enrollment Squeeze - Copy/,0,0,True
