GEO_ID|B28002_E001|B28002_M001|B28002_E002|B28002_M002|B28002_E003|B28002_M003|B28002_E004|B28002_M004|B28002_E005|B28002_M005|B28002_E006|B28002_M006|B28002_E007|B28002_M007|B28002_E008|B28002_M008|B28002_E009|B28002_M009|B28002_E010|B28002_M010|B28002_E011|B28002_M011|B28002_E012|B28002_M012|B28002_E013|B28002_M013
795P200US4702900|46657|1640|41489|1808|41|62|41448|1797|39286|1780|7229|1236|31584|2050|1301|554|3675|899|510|353|0|230|939|527|4229|765
795P200US4703000|46861|1375|41241|1805|98|161|41143|1788|36738|1715|4335|961|31944|1906|3092|886|5675|1227|1031|499|60|98|429|313|5191|1202
795P200US4703100|50576|1172|44336|1522|87|111|44249|1524|41736|1519|4739|1185|36575|1953|2306|904|3433|945|196|211|0|230|624|389|5616|1187
795P200US4703200|44029|1503|41268|1821|0|230|41268|1821|38255|1733|5148|1158|32070|2087|2275|769|5455|1285|596|403|0|230|950|498|1811|594
795P200US4703300|45212|1999|40925|1962|0|230|40925|1962|38065|2155|4623|1125|35142|1885|2641|819|1433|482|207|230|0|230|794|354|3493|780
795P200US4703401|51150|3086|45724|2827|120|147|45604|2832|42216|2718|6218|1413|38339|2978|3113|867|2154|1312|176|215|0|230|1756|845|3670|961
795P200US4703402|54182|2911|51565|2886|44|75|51521|2899|49679|2869|4529|1318|46154|2976|1743|671|1098|679|0|230|0|230|1406|1048|1211|492
795P200US4703403|55094|2823|51776|2708|0|230|51776|2708|49775|2648|4306|1163|46518|2405|1964|673|1591|570|37|62|0|230|1385|488|1933|998
795P200US4703500|44608|1704|39437|1919|0|230|39437|1919|37318|2071|8691|1689|26955|1618|1696|699|5189|1425|382|336|0|230|754|480|4417|1016
795P200US4703600|50023|1562|46495|1593|47|89|46448|1600|42541|1477|7807|1392|35958|2142|2959|848|2904|724|766|405|85|148|851|525|2677|749
795P200US4703700|45297|1383|41645|1695|25|45|41620|1694|39780|1720|6244|1478|32495|2067|1627|574|3136|812|157|146|46|77|887|513|2765|830
795P200US4800100|61715|1680|55892|1858|121|107|55771|1864|52792|2017|10842|1640|40562|2228|2099|781|7075|1305|512|273|0|242|435|236|5388|1308
795P200US4800200|42351|1644|36847|1977|40|67|36807|1969|35496|2008|5097|1312|29973|2082|1056|415|4042|1084|97|108|0|242|1114|578|4390|1035
795P200US4800300|59463|1179|55740|1896|41|70|55699|1892|52984|2009|5324|1520|47727|2350|2323|825|4904|1343|392|368|0|242|1533|868|2190|1085
795P200US4800400|43008|2077|38538|2178|58|88|38480|2195|37291|2182|6413|1142|29735|2239|915|290|4132|865|154|114|46|81|854|375|3616|860
795P200US4800501|63762|3061|57086|2862|95|117|56991|2879|54879|2841|8363|1674|46721|2933|1692|556|3814|1002|174|170|0|242|3333|1014|3343|969
795P200US4800502|65150|3090|61419|2929|74|129|61345|2913|59633|3193|5656|1474|53229|2955|1290|655|5627|1102|39|65|315|476|1497|826|2234|708
795P200US4800600|63902|1908|57485|1906|39|68|57446|1900|54798|1906|12124|1410|34886|2288|1900|536|12527|1363|553|280|10|18|1057|537|5360|999
795P200US4800700|49103|1540|46189|1553|304|398|45885|1597|43837|1608|8957|1581|34754|1893|1744|481|2839|711|235|223|8|14|1203|621|1711|617
795P200US4800800|90238|1802|83731|1924|11|20|83720|1919|81051|2163|14523|2159|60426|2593|2256|991|11478|1913|290|234|44|73|1329|563|5178|1226
795P200US4800900|87143|1695|82484|2013|0|242|82484|2013|78303|2477|9483|1782|67738|2790|2493|944|10360|1542|352|422|0|242|2047|767|2612|928
795P200US4801000|61347|1804|54948|1971|59|92|54889|1953|51695|2091|11080|1619|37348|2215|2387|657|8270|1240|665|385|16|26|1363|602|5036|1147
795P200US4801100|47424|1651|42462|1790|176|197|42286|1808|39186|1726|9589|1527|28630|1930|2457|818|5062|1109|643|595|0|242|1402|655|3560|1010
795P200US4801200|46897|1453|41482|1994|95|125|41387|1988|39388|2049|7462|1400|29505|2346|1418|686|10611|1585|271|265|0|242|1548|657|3867|1158
795P200US4801300|51616|1938|46170|1991|28|53|46142|2004|42674|2103|9088|1573|30185|2251|2901|949|9026|1433|437|346|0|242|1239|612|4207|1161
795P200US4801400|52247|1371|47595|1757|0|242|47595|1757|42143|2425|6447|1653|37310|2504|4627|1940|5802|1764|825|810|0|242|1675|1066|2977|1054
795P200US4801501|43298|2339|40133|2485|43|72|40090|2497|38438|2519|11364|2070|25399|2356|1212|538|4429|1056|341|259|48|77|815|450|2350|987
795P200US4801502|47419|2165|44701|2229|109|202|44592|2231|42871|2261|13916|2026|28428|2410|1626|568|4070|1244|0|242|0|242|1197|636|1521|713
795P200US4801600|51001|1052|46422|1517|0|242|46422|1517|44796|1580|3443|1043|39995|1635|1296|714|11177|1826|18|37|0|242|1082|595|3497|873
795P200US4801700|44932|1569|39106|1690|16|30|39090|1689|37677|1753|9223|1422|25764|1906|1051|457|8238|1380|116|110|0|242|939|466|4887|1120
795P200US4801800|53418|1984|48557|1974|74|130|48483|1987|46148|2168|9394|1570|30977|1839|1450|600|11148|1704|331|246|0|242|1100|646|3761|777
795P200US4801901|65130|3385|63117|3533|0|242|63117|3533|58955|4289|4148|1080|57112|3650|3979|1945|3823|1132|183|268|0|242|974|878|1039|804
795P200US4801902|47679|2846|46591|2719|94|112|46497|2742|45058|2759|2578|945|42362|2854|1439|884|2532|1184|0|242|0|242|526|361|562|798
795P200US4801903|39498|2618|38218|2762|0|242|38218|2762|36804|2870|4204|1460|32784|2725|997|576|1881|837|417|667|0|242|627|664|653|528
795P200US4801904|56539|2751|55205|2874|0|242|55205|2874|53612|2897|3488|1296|51154|2963|1386|852|4650|1375|207|269|0|242|645|545|689|525
795P200US4801905|68735|3459|65699|3539|0|242|65699|3539|62654|3818|5865|1633|57595|3717|2853|1160|6540|1915|104|178|0|242|996|868|2040|1263
795P200US4801907|82031|3343|79706|3554|52|85|79654|3554|77609|3850|5795|1761|69304|3839|2005|804|9594|2300|40|48|0|242|1338|823|987|578
795P200US4801909|47162|2918|45838|2855|0|242|45838|2855|44799|2842|2395|960|43018|2923|1039|780|2907|1185|0|242|0|242|370|446|954|837
795P200US4802001|62900|3090|61454|3205|0|242|61454|3205|59221|3389|8126|2287|52234|3237|2233|1415|2402|937|0|242|0|242|512|454|934|724
795P200US4802002|50613|2417|48412|2678|0|242|48412|2678|46455|2958|7555|2066|38627|2733|1492|952|4141|1411|465|678|0|242|1145|820|1056|741
795P200US4802003|57510|2977|56210|3032|0|242|56210|3032|54204|3045|2883|942|52355|3043|2006|791|3085|822|0|242|0|242|1076|604|224|141
795P200US4802004|72527|3040|70494|3024|0|242|70494|3024|68689|3177|3146|1005|66031|3002|1710|806|4018|1021|0|242|95|159|876|529|1157|684
795P200US4802005|52394|3171|49096|3222|0|242|49096|3222|47595|3142|4278|1362|43842|3388|1361|568|3535|1065|73|125|0|242|1683|778|1615|969
795P200US4802006|90503|3712|87801|3812|29|48|87772|3822|85891|3932|6963|1562|76857|3619|1842|702|7531|1522|39|66|0|242|1792|891|910|491
795P200US4802101|78207|1421|73594|1735|98|168|73496|1735|70446|1945|7888|1728|57277|2601|1895|1013|12266|2487|572|348|132|171|1458|702|3155|1231
795P200US4802102|69900|1531|65985|1921|0|242|65985|1921|62332|2005|12778|2478|49653|2974|3154|1131|6576|1291|106|121|0|242|1390|728|2525|990
795P200US4802200|58575|1643|53797|2112|0|242|53797|2112|51372|2282|6679|1252|41481|2192|1822|653|7597|1195|479|247|26|47|1778|784|3000|880
795P200US4802301|44915|3062|43317|3048|0|242|43317|3048|40250|3091|7542|1812|34510|3331|2466|1598|1487|721|173|302|428|670|1034|617|564|497
795P200US4802302|34003|2605|32965|2688|0|242|32965|2688|31567|2589|11564|2211|20177|2280|1012|492|1728|788|329|415|57|97|234|275|804|737
795P200US4802303|49400|3321|45631|3000|0|242|45631|3000|42860|3062|5908|1747|38830|2966|2590|1480|2205|1003|143|179|38|63|1118|619|2651|1386
795P200US4802304|42346|3585|38685|3665|59|101|38626|3661|36800|3812|4365|1631|32898|3688|1352|704|2948|999|279|422|0|242|2169|1079|1492|770
795P200US4802305|40605|3403|37172|3185|47|77|37125|3189|36184|3201|6013|1553|28722|3319|340|364|3447|1184|0|242|187|194|423|409|3010|1081
795P200US4802306|49873|3345|47449|3551|0|242|47449|3551|45476|3750|6759|2122|40022|3296|1882|899|2178|1056|0|242|46|79|538|360|1886|1160
795P200US4802307|56825|3751|54882|3816|80|139|54802|3815|51055|3797|7590|1898|46149|3908|3408|1875|3866|1428|176|280|0|242|507|359|1436|874
795P200US4802308|37602|3238|36566|3155|0|242|36566|3155|34736|3154|7879|2208|27698|2828|1456|765|2304|937|85|145|0|242|296|338|740|414
795P200US4802309|42946|3353|41083|3616|0|242|41083|3616|39044|3656|3954|1569|36341|3368|1604|1065|2318|927|344|405|0|242|1015|697|848|607
795P200US4802310|56207|4026|53224|4078|0|242|53224|4078|51436|4002|4621|1400|47343|3929|1788|1051|5978|2550|0|242|0|242|1709|1320|1274|784
795P200US4802311|42609|3094|41073|3149|34|56|41039|3139|39212|3004|6405|1558|33519|2844|1712|834|2886|915|0|242|50|77|425|297|1111|735
795P200US4802312|48808|3551|47098|3496|0|242|47098|3496|45439|3530|5740|1779|40078|2974|1492|935|3192|970|109|182|58|98|1079|840|631|417
795P200US4802313|81992|5502|79865|5589|0|242|79865|5589|78264|5558|9477|2292|68633|5826|1538|915|4680|1390|63|107|0|242|1295|622|832|457
795P200US4802314|38759|3081|34909|2816|0|242|34909|2816|33517|2770|6752|1598|27353|2347|1240|849|2175|899|0|242|0|242|1294|817|2556|944
795P200US4802315|44602|3848|42571|3766|0|242|42571|3766|41221|3769|7639|1832|33407|3387|914|490|3657|1557|411|534|0|242|1448|1200|583|315
795P200US4802316|32680|3056|28675|3377|0|242|28675|3377|26402|3314|4778|1433|22843|3305|1233|711|3370|1455|164|269|52|88|1687|1111|2318|1265
795P200US4802317|41510|2858|36662|2696|0|242|36662|2696|34979|2905|6166|1682|29750|2318|1448|909|4317|1196|0|242|0|242|1300|1255|3548|1528
795P200US4802318|42175|2902|39785|2944|0|242|39785|2944|38757|3065|4794|1459|33587|2863|1028|613|2735|1033|0|242|0|242|1062|701|1328|685
795P200US4802319|35452|3235|33242|3185|0|242|33242|3185|31650|3126|5291|1501|26979|3069|1525|835|3198|939|67|117|0|242|770|752|1440|818
795P200US4802320|36512|2693|34598|2718|0|242|34598|2718|33733|2750|7378|1240|25788|2332|822|447|2088|994|43|74|0|242|759|677|1155|771
795P200US4802321|47906|4004|46244|4114|0|242|46244|4114|44158|3907|11751|2603|33889|3908|1967|791|2738|1274|55|91|0|242|787|584|875|557
795P200US4802322|47536|3265|46420|3347|0|242|46420|3347|45456|3316|8154|2233|37556|3457|964|702|2421|888|0|242|0|242|543|506|573|474
795P200US4802400|58548|1113|54734|1436|0|242|54734|1436|52639|1684|9443|2043|37736|2427|1346|592|8245|1551|582|546|0|242|1854|892|1960|735
795P200US4802501|45497|2041|44915|2047|237|384|44678|2027|43287|2179|4027|1352|39736|2020|970|463|1730|1048|421|677|0|242|279|237|303|242
795P200US4802502|63684|3818|61329|3768|0|242|61329|3768|59725|3685|6771|1787|53400|3696|1604|615|3087|962|0|242|0|242|1547|760|808|681
