GEO_ID|B15003_E001|B15003_M001|B15003_E002|B15003_M002|B15003_E003|B15003_M003|B15003_E004|B15003_M004|B15003_E005|B15003_M005|B15003_E006|B15003_M006|B15003_E007|B15003_M007|B15003_E008|B15003_M008|B15003_E009|B15003_M009|B15003_E010|B15003_M010|B15003_E011|B15003_M011|B15003_E012|B15003_M012|B15003_E013|B15003_M013|B15003_E014|B15003_M014|B15003_E015|B15003_M015|B15003_E016|B15003_M016|B15003_E017|B15003_M017|B15003_E018|B15003_M018|B15003_E019|B15003_M019|B15003_E020|B15003_M020|B15003_E021|B15003_M021|B15003_E022|B15003_M022|B15003_E023|B15003_M023|B15003_E024|B15003_M024|B15003_E025|B15003_M025
400C200US14482|46319|1852|2223|997|0|213|0|213|0|213|0|213|0|213|0|213|0|213|0|213|421|454|194|238|0|213|515|408|1039|546|868|518|9578|1496|3013|950|4077|1066|7441|1587|5674|1073|7381|1244|3207|965|630|417|58|99
400C200US14752|133230|2355|1218|575|0|174|0|174|0|174|0|174|65|104|0|174|0|174|0|174|233|246|423|259|262|259|1035|530|3541|1254|1971|849|30204|2669|6240|1426|9533|1685|17005|2371|16639|2171|29843|2527|11927|1970|2174|620|917|472
400C200US15211|82799|2718|997|565|45|79|0|208|0|208|0|208|0|208|0|208|140|210|379|536|141|200|157|160|15|2|698|481|1238|758|594|367|12481|1346|2319|855|4432|1693|6755|1502|6651|1503|18638|2350|17371|2510|3709|1159|6039|1099
400C200US15481|99957|3681|584|356|0|206|0|206|0|206|0|206|0|206|0|206|0|206|181|213|248|177|378|203|913|523|933|638|1271|789|1635|757|30555|3144|6141|1163|6891|1440|12567|2020|7036|1486|18009|2306|7639|1566|3225|905|1751|809
400C200US15508|512660|6571|6045|1648|158|206|0|229|55|69|233|381|68|127|276|337|176|182|996|705|468|341|1564|842|4086|1882|5700|1840|3314|1161|7537|1753|92753|6800|15081|2719|32464|3868|65060|6448|50721|5383|139484|6579|62748|4202|14821|2027|8852|1470
400C200US15670|1013476|7518|19535|3374|259|281|0|213|288|304|647|430|1572|751|797|466|2968|918|9410|2345|2983|1302|5699|1370|11587|2277|6832|1512|10497|2097|13438|2163|150589|9346|23426|2884|50556|4177|110209|7052|82656|5766|322579|10049|142249|7206|27281|2845|17419|2605
400C200US15724|66495|2727|1977|1212|0|217|0|217|0|217|0|217|0|217|0|217|127|173|425|480|0|217|349|424|27|47|220|265|382|244|704|501|5952|1308|1556|652|2338|831|4785|1114|3612|1100|19387|2126|15155|2226|4645|1135|4854|1237
400C200US15832|292928|4482|4448|1418|44|84|62|115|69|120|811|843|780|551|1106|500|156|193|952|547|981|568|1448|622|2335|1034|3225|1247|5033|1345|4791|1013|58385|4627|12612|1981|23578|3246|40408|3486|26564|3198|66092|4392|28544|2846|5926|1476|4578|1216
400C200US16237|53868|1946|389|278|0|213|0|213|0|213|0|213|16|20|134|233|0|213|0|213|0|213|28|20|145|170|95|100|451|407|458|379|10682|1653|3157|912|4590|965|8732|1536|7603|1519|11786|1860|3936|965|808|496|858|498
400C200US16264|6020509|8584|159500|9039|2123|755|1945|996|2723|986|6697|1898|11156|2185|10091|1910|10102|2331|68763|7604|9316|2050|49865|4614|38373|4011|53657|4758|59883|5365|135538|7622|1138752|22721|181436|9045|341692|10261|654867|15077|442654|10864|1551305|18810|788801|17271|172830|7862|128440|6604
400C200US16318|67804|2526|376|278|0|225|0|225|0|225|11|20|6|12|0|225|18|24|856|674|0|225|373|384|57|53|285|240|268|331|1247|704|11470|2096|1516|796|3606|1057|12071|2286|6983|1320|18778|2190|7200|1260|1248|513|1435|733
400C200US16885|1175992|8574|14575|3101|0|213|46|79|339|340|226|272|363|279|677|635|234|236|4346|1986|750|399|6720|1710|10321|3228|11618|2180|14255|2177|20295|2795|240902|9411|47509|4177|80981|6405|135400|6473|105256|6848|294176|7868|136008|7869|26661|2729|24334|2750
400C200US17317|137837|2817|1332|689|114|200|0|213|0|213|0|213|45|64|0|213|114|127|0|213|56|114|598|692|482|349|551|383|1102|539|2309|1065|29173|3587|7504|1901|14495|2187|23204|3366|17036|3024|25995|3438|9692|1787|1323|697|2712|991
400C200US17668|1218252|6773|16201|2481|165|195|144|235|68|108|0|211|530|424|826|431|1428|728|1294|550|1454|601|3263|881|8164|1733|15352|2444|20751|3288|18122|2358|289624|8864|41104|3601|87260|4987|159401|7235|98538|5267|267279|7929|133186|5682|34400|3259|19698|2597
400C200US17722|49963|2663|424|284|0|230|0|230|83|129|126|195|122|196|0|230|55|96|621|394|127|198|999|549|697|473|917|466|1877|1181|1014|539|11867|1874|4407|1446|3731|1084|7333|1450|3607|1098|7882|1673|2531|930|625|388|918|558
400C200US18451|90102|3030|626|522|0|198|0|198|96|158|0|198|49|83|0|198|0|198|30|48|0|198|345|451|504|450|387|323|922|558|1172|600|18458|2704|2875|1001|8064|1527|17969|2608|10981|2014|19524|2737|5891|1291|1525|567|684|348
400C200US18748|114838|2188|1991|985|0|242|43|71|0|242|0|242|0|242|59|99|147|179|793|556|248|407|154|237|1662|842|1705|919|1755|998|1441|701|18226|2768|4574|1177|6816|1652|15150|2276|7016|1564|28590|2716|13838|1791|3253|1134|7377|1369
400C200US18856|435073|4160|6551|2128|0|224|60|98|0|224|561|681|216|294|23|38|194|232|933|870|309|437|911|682|1753|887|1744|786|4006|1409|5610|1741|73235|5086|17112|2953|29523|3131|60202|4120|45774|3628|110886|5756|57486|3553|9399|1855|8585|1684
400C200US18937|87610|2563|754|489|0|198|0|198|204|356|0|198|0|198|0|198|0|198|0|198|117|150|186|230|204|294|170|182|1081|831|794|398|11139|1752|2713|935|5414|1530|9439|1810|5956|1535|24133|2411|15033|2422|3316|1138|6957|1582
400C200US18964|404147|5414|4325|1304|0|229|422|518|21|4|313|285|385|284|28|47|122|195|1001|647|463|294|2005|907|3228|1163|3401|1030|4157|1569|6934|1650|73314|4999|15525|2614|21755|2544|54570|5100|41516|4481|99472|6666|51314|4277|9926|1827|9950|2040
400C200US19099|173513|4072|3453|1393|0|213|0|213|0|213|0|213|37|64|0|213|76|124|828|1041|497|374|1382|627|1243|514|4572|1493|1998|819|3554|1308|43193|3349|9444|1953|14138|2527|25931|2428|18329|2667|27740|2982|12010|2149|2373|862|2715|1038
400C200US19234|1097813|5574|22499|3714|993|717|221|186|223|202|1034|804|254|377|776|769|1236|913|2202|1158|1433|930|4280|1349|8608|2031|10625|2144|11194|2045|19585|3213|212072|10517|30170|3741|60248|4671|140869|7606|75252|4746|309385|9102|131905|6102|29397|3054|23352|2765
400C200US19504|382087|7672|5224|1572|0|225|0|225|0|225|0|225|304|351|0|225|231|239|1687|833|110|129|1552|848|1268|812|1012|462|1880|585|6457|2098|39104|4052|5103|1460|14382|1798|39462|3540|27690|3561|135703|6338|69068|4076|20620|2341|11230|1969
400C200US19558|199902|5514|3149|1442|40|72|0|226|0|226|244|365|181|265|88|98|684|444|1360|1131|1079|561|769|562|2016|966|3420|1716|2660|1017|1870|961|44482|4789|9322|2116|15618|2963|25337|3874|17243|3052|41686|3636|23330|2922|2822|1223|2502|983
400C200US20287|228362|3556|4213|1113|39|66|0|242|0|242|82|143|669|421|547|486|169|215|2579|1052|1792|1136|2645|1170|3796|1527|3024|1230|4744|1483|5868|1449|52174|4025|13388|2671|15921|2511|34733|3244|21272|2984|37700|3946|16749|2506|3871|1436|2387|843
400C200US20422|38579|1589|244|312|0|220|0|220|0|220|88|142|235|337|70|18|0|220|0|220|0|220|0|220|149|233|383|312|290|287|138|131|2879|779|859|498|1996|707|3946|982|3130|903|11566|1439|7486|1324|1576|727|3544|897
400C200US22042|3957830|10500|126042|7701|2868|1608|892|580|2037|999|9348|2674|14501|2898|8732|2016|13645|3156|69127|6523|14884|2724|30896|3952|63782|7434|37900|3652|44649|4631|83090|6290|728825|19585|138069|9340|245824|9093|481642|13928|264494|10373|987901|18198|441823|13807|88240|5465|58619|4437
400C200US22069|41876|2032|1645|841|0|232|0|232|0|232|314|394|1525|942|1470|1086|620|471|1234|812|464|396|605|361|1374|914|1190|516|626|404|1190|731|10156|1741|2092|816|2579|1028|4491|1319|2541|1122|3854|1125|2067|1058|1615|874|224|182
400C200US22096|127384|4635|3343|1214|0|213|0|213|0|213|114|193|0|213|44|74|749|730|1289|859|193|336|1338|856|906|560|1243|1011|1146|748|3262|1714|28812|3468|4488|1115|7780|1876|12073|2213|9230|1790|30136|3348|17027|2357|2944|947|1267|476
400C200US22366|193362|2933|4619|1125|22|42|153|215|118|184|195|308|97|130|263|249|247|325|446|381|659|788|1305|917|1241|695|2109|803|3182|1088|2296|840|41830|2886|11220|1878|13901|2046|25604|2857|21697|2489|37767|3851|17966|2199|3186|1028|3239|971
400C200US22420|35821|1977|159|190|0|225|0|225|0|225|0|225|54|2|0|225|0|225|79|124|0|225|0|225|60|105|244|320|75|8|424|171|1198|524|421|274|791|478|2077|676|1744|526|12316|1588|7925|1340|3519|971|4735|1024
400C200US22528|464114|5386|3230|1058|0|211|38|65|0|211|0|211|165|262|0|211|460|518|1248|860|606|588|2885|1234|3589|1158|4728|1183|5725|1627|5563|1070|108501|5395|17515|2412|37323|3747|62245|4541|47348|3455|90525|5563|53373|4280|9146|2166|9901|1886
400C200US22612|336654|6222|4889|1533|54|88|57|93|0|247|245|234|41|78|0|247|52|88|336|354|1299|660|603|460|1488|881|3066|1252|3119|1267|6924|1679|75457|5617|17710|2592|31303|4007|48870|4421|37163|3297|65165|4726|27889|3238|6264|1438|4660|1143
400C200US22717|55618|2468|488|290|0|208|0|208|0|208|0|208|44|81|0|208|0|208|0|208|0|208|225|269|379|354|705|366|1026|516|416|281|19172|1887|2728|759|3580|950|8319|1635|4859|925|8845|1354|3762|971|400|306|670|346
400C200US22960|39578|2054|246|286|0|208|0|208|0|208|0|208|7|3|0|208|35|59|236|435|0|208|347|433|101|123|203|211|366|298|1513|857|7998|1709|1682|667|2490|725|5789|1382|3389|1026|8088|1499|5156|1313|316|254|1616|723
400C200US23311|159905|5857|2468|988|303|479|145|244|331|487|0|247|169|204|0|247|438|526|752|677|774|728|948|426|800|413|686|351|2009|958|3631|1255|42712|4624|7927|1669|17796|2737|16227|2130|18886|2633|28133|2838|10547|2060|2274|1040|1949|857
400C200US23500|307559|7084|5487|1972|341|435|73|125|0|242|245|145|293|380|389|544|74|119|655|543|516|483|2512|1626|3265|1529|1313|782|1951|996|4012|1161|45370|4671|6907|1870|19548|2226|36185|4378|24074|3065|101131|6461|43895|3757|4331|1113|4992|1519
400C200US23527|1939836|7907|36817|4818|1248|697|608|515|367|412|719|551|3303|1524|2065|1023|3620|1309|14703|3050|3403|1191|9997|2233|17441|3999|11084|1869|15310|2587|31328|4308|274231|11558|69661|5159|108114|6136|216586|8945|132751|6751|605673|14038|283515|9400|55601|4454|41691|4137
400C200US23743|380747|4474|9791|2230|140|183|0|174|0|174|53|89|634|570|508|494|423|370|1306|797|451|378|1098|786|2362|1123|3234|1288|3293|1196|6199|1769|64503|5601|10815|2004|28687|3449|44260|3995|37431|3168|111886|6267|38476|3991|7395|1393|7802|1947
400C200US23824|2660125|7052|51743|4685|623|525|764|563|338|294|572|377|1608|999|2215|1136|3797|1174|10070|1970|2973|908|12387|1797|18639|2407|29710|3172|46225|5048|57152|5104|575684|13716|95174|6002|180335|7292|365479|11521|243468|10156|566317|13551|297697|8030|62836|4039|34319|3788
400C200US24472|51827|1992|599|270|0|213|0|213|0|213|0|213|0|213|25|43|15|7|363|189|107|83|377|191|343|181|1179|465|1509|550|858|368|13974|1792|2591|547|3385|581|7454|1038|5284|977|8836|1105|3471|618|1003|375|454|227
