GEO_ID|B01003_E001|B01003_M001
04000G0US72|67076|6201
04000H0US01|1126674|3258
04000H0US02|237969|-555555555
04000H0US04|345541|-555555555
04000H0US05|1180650|4388
04000H0US06|842317|-555555555
04000H0US08|723640|1958
04000H0US09|211802|-555555555
04000H0US10|271134|-555555555
04000H0US12|686193|3400
04000H0US13|1850766|6316
04000H0US15|283630|-555555555
04000H0US16|526802|4682
04000H0US17|1602482|3515
04000H0US18|1497286|3756
04000H0US19|1221731|1303
04000H0US20|860407|2220
04000H0US21|1727864|6539
04000H0US22|715442|2678
04000H0US23|561366|-555555555
04000H0US24|275014|-555555555
04000H0US25|106602|-555555555
04000H0US26|1677385|-555555555
04000H0US27|1271749|912
04000H0US28|1480211|3992
04000H0US29|1519969|3874
04000H0US30|510260|2808
04000H0US31|676796|1388
04000H0US32|235182|1396
04000H0US33|521935|-555555555
04000H0US35|692389|2952
04000H0US36|1370171|-555555555
04000H0US37|2244701|2075
04000H0US38|307263|1264
04000H0US39|2124035|-555555555
04000H0US40|1308084|1713
04000H0US41|643197|-555555555
04000H0US42|1758877|-555555555
04000H0US45|733391|2254
04000H0US46|455332|3119
04000H0US47|1528125|3696
04000H0US48|2986380|6976
04000H0US49|420057|618
04000H0US50|418943|792
04000H0US51|1070982|6245
04000H0US53|813060|1559
04000H0US54|684455|3338
04000H0US55|1513190|-555555555
04000H0US56|405425|-555555555
04000H0US72|200344|4217
040C201US01|2975636|22265
040C201US02|468799|7466
040C201US04|6649939|24802
040C201US05|1711312|16669
040C201US06|36995802|39248
040C201US08|5057634|19333
040C201US09|3160830|13549
040C201US10|858211|10087
040C201US11|702250|-555555555
040C201US12|21101218|44845
040C201US13|8206520|33893
040C201US15|1254124|8950
040C201US16|1349992|11363
040C201US17|11017129|26943
040C201US18|4925539|23680
040C201US19|2033223|17889
040C201US20|2144659|14440
040C201US21|2698625|21507
040C201US22|3291043|21446
040C201US23|540829|10723
040C201US24|5324037|20536
040C201US25|6509725|17904
040C201US26|7413874|27752
040C201US27|4115982|28877
040C201US28|1341307|17346
040C201US29|4303089|19536
040C201US30|598813|10620
040C201US31|1443004|13114
040C201US32|3053629|10356
040C201US33|814321|11905
040C201US34|8904021|17237
040C201US35|1594734|14775
040C201US36|17331030|22958
040C201US37|7347106|28976
040C201US38|480817|7940
040C201US39|9030747|24898
040C201US40|2622714|14241
040C201US41|3437846|16587
040C201US42|10005648|27992
040C201US44|1008514|9139
040C201US45|3726324|27392
040C201US46|527052|8060
040C201US47|4741609|24414
040C201US48|25783912|58465
040C201US49|3060553|14796
040C201US50|236173|8276
040C201US51|6641178|18830
040C201US53|6615999|24544
040C201US54|794447|12665
040C201US55|3932651|22093
040C201US56|359993|9425
040C201US72|2967031|13934
040C243US01|2182063|22265
040C243US02|271334|7466
040C243US04|932445|24802
040C243US05|1377042|16669
040C243US06|2435461|39248
040C243US08|899860|19333
040C243US09|514239|13549
040C243US10|193706|10087
040C243US12|2270997|44845
040C243US13|2974358|33893
040C243US15|192022|8950
040C243US16|651627|11363
040C243US17|1693029|26943
040C243US18|1998736|23680
040C243US19|1208265|17889
040C243US20|825947|14440
040C243US21|1889747|21507
040C243US22|1306697|21446
040C243US23|864183|10723
040C243US24|939183|20536
040C243US25|626446|17904
040C243US26|2726585|27752
040C243US27|1677169|28877
040C243US28|1601738|17346
040C243US29|1942377|19536
040C243US30|538420|10620
040C243US31|562462|13111
040C243US32|213838|10356
040C243US33|594711|11905
040C243US34|596830|17237
040C243US35|535522|14775
040C243US36|2536218|22958
040C243US37|3698918|28976
040C243US38|315751|7940
040C243US39|2852557|24898
040C243US40|1472679|14241
040C243US41|834525|16587
040C243US42|3073103|27992
040C243US44|103794|9139
040C243US45|1752507|27392
040C243US46|397617|8060
040C243US47|2486141|24414
040C243US48|5506919|58465
040C243US49|443060|14796
040C243US50|412320|8276
040C243US51|2170017|18830
040C243US53|1342181|24544
040C243US54|975532|12665
040C243US55|2028324|22093
040C243US56|227625|9425
040C243US72|236264|13934
0500000US01003|261608|-555555555
0500000US01015|116427|-555555555
0500000US01043|92604|-555555555
0500000US01049|73122|-555555555
0500000US01051|91042|-555555555
0500000US01055|103207|-555555555
0500000US01069|109366|-555555555
0500000US01073|664744|-555555555
0500000US01077|97502|-555555555
0500000US01081|187847|-555555555
0500000US01083|118942|-555555555
0500000US01089|423355|-555555555
0500000US01095|102156|-555555555
0500000US01097|412339|-555555555
0500000US01101|225894|-555555555
0500000US01103|126084|-555555555
0500000US01115|96927|-555555555
0500000US01117|235969|-555555555
0500000US01121|81375|-555555555
0500000US01125|241212|-555555555
0500000US01127|65260|-555555555
0500000US02020|289600|-555555555
0500000US02090|94951|-555555555
0500000US02170|117613|-555555555
0500000US04001|64800|-555555555
0500000US04003|125773|-555555555
0500000US04005|145161|-555555555
0500000US04013|4673096|-555555555
0500000US04015|226479|-555555555
0500000US04017|109516|-555555555
0500000US04019|1080149|-555555555
0500000US04021|513862|-555555555
0500000US04025|252013|-555555555
0500000US04027|220310|-555555555
0500000US05007|321566|-555555555
0500000US05031|115852|-555555555
0500000US05045|131611|-555555555
0500000US05051|99902|-555555555
0500000US05069|63672|-555555555
0500000US05085|76389|-555555555
0500000US05119|401209|-555555555
0500000US05125|131252|-555555555
0500000US05131|130035|-555555555
0500000US05143|266184|-555555555
0500000US05145|79091|-555555555
0500000US06001|1649060|-555555555
0500000US06007|208334|-555555555
0500000US06013|1172607|-555555555
0500000US06017|192823|-555555555
0500000US06019|1024125|-555555555
0500000US06023|132380|-555555555
0500000US06025|181724|-555555555
