county_fips,state,state_name,county_name,class_year,projected_high_school_graduates,likely_college_entrants,likely_four_year_entrants,likely_four_year_entrants_low,likely_four_year_entrants_high,demographic_confidence,county_share_of_state_pool
01037,AL,Alabama,Coosa County,2041,71.951,45.185,30.123,25.646,34.961,Low,0.0013259906625591755
01039,AL,Alabama,Covington County,2026,396.136,248.773,165.849,141.196,192.482,High,0.007131668404070146
01039,AL,Alabama,Covington County,2030,389.378,244.529,163.02,138.787,189.199,Moderate,0.00735702496721336
01039,AL,Alabama,Covington County,2035,399.204,250.7,167.133,142.289,193.973,Moderate,0.007227365818463233
01039,AL,Alabama,Covington County,2041,396.042,248.714,165.809,141.162,192.437,Low,0.007298694325677587
01041,AL,Alabama,Crenshaw County,2026,120.062,75.399,50.266,42.794,58.338,High,0.0021614828106757554
01041,AL,Alabama,Crenshaw County,2030,131.317,82.467,54.978,46.806,63.807,Moderate,0.002481141000357253
01041,AL,Alabama,Crenshaw County,2035,123.211,77.376,51.584,43.916,59.868,Moderate,0.0022306636644730347
01041,AL,Alabama,Crenshaw County,2041,124.598,78.247,52.165,44.411,60.542,Low,0.0022962255339686504
01043,AL,Alabama,Cullman County,2026,945.225,593.601,395.734,336.91,459.285,High,0.017016977692596684
01043,AL,Alabama,Cullman County,2030,842.81,529.285,352.856,300.406,409.521,Moderate,0.015924309568736323
01043,AL,Alabama,Cullman County,2035,912.032,572.756,381.837,325.079,443.156,Moderate,0.016511847863363613
01043,AL,Alabama,Cullman County,2041,936.999,588.435,392.29,333.978,455.288,Low,0.01726804995347389
01045,AL,Alabama,Dale County,2026,440.813,276.83,184.554,157.12,214.191,High,0.00793599191696504
01045,AL,Alabama,Dale County,2030,403.571,253.442,168.962,143.846,196.095,Moderate,0.007625184652056962
01045,AL,Alabama,Dale County,2035,444.315,279.03,186.02,158.369,215.893,Moderate,0.008044093083306926
01045,AL,Alabama,Dale County,2041,396.422,248.953,165.969,141.298,192.622,Low,0.007305708302041672
01047,AL,Alabama,Dallas County,2026,384.523,241.481,160.987,137.057,186.84,High,0.0069226065478003515
01047,AL,Alabama,Dallas County,2030,282.338,177.308,118.205,100.635,137.188,Moderate,0.00533457276594035
01047,AL,Alabama,Dallas County,2035,241.778,151.837,101.225,86.178,117.48,Moderate,0.0043772662194818505
01047,AL,Alabama,Dallas County,2041,216.324,135.852,90.568,77.105,105.112,Low,0.003986663815581199
01049,AL,Alabama,DeKalb County,2026,784.065,492.393,328.262,279.467,380.977,High,0.014115594657074938
01049,AL,Alabama,DeKalb County,2030,725.85,455.834,303.889,258.717,352.691,Moderate,0.013714432915576865
01049,AL,Alabama,DeKalb County,2035,737.487,463.142,308.761,262.865,358.345,Moderate,0.013351805597102232
01049,AL,Alabama,DeKalb County,2041,739.329,464.299,309.532,263.521,359.24,Low,0.013625168480133064
01051,AL,Alabama,Elmore County,2026,948.044,595.371,396.914,337.914,460.654,High,0.01706772107995513
01051,AL,Alabama,Elmore County,2030,861.667,541.127,360.751,307.127,418.684,Moderate,0.016280597992234358
01051,AL,Alabama,Elmore County,2035,872.175,547.726,365.151,310.872,423.79,Moderate,0.015790268433975727
01051,AL,Alabama,Elmore County,2041,800.721,502.853,335.235,285.404,389.07,Low,0.014756573445921259
01053,AL,Alabama,Escambia County,2026,354.551,222.658,148.439,126.374,172.276,High,0.006383011740842529
01053,AL,Alabama,Escambia County,2030,318.964,200.31,133.54,113.689,154.985,Moderate,0.006026607543920386
01053,AL,Alabama,Escambia County,2035,331.203,207.996,138.664,118.052,160.932,Moderate,0.005996256993104995
01053,AL,Alabama,Escambia County,2041,310.603,195.059,130.039,110.709,150.922,Low,0.005724143243826882
01055,AL,Alabama,Etowah County,2026,986.844,619.738,413.159,351.744,479.507,High,0.017766241955424984
01055,AL,Alabama,Etowah County,2030,921.385,578.63,385.753,328.412,447.701,High,0.017408924354436296
01055,AL,Alabama,Etowah County,2035,942.396,591.825,394.55,335.901,457.91,Moderate,0.01706157952792153
01055,AL,Alabama,Etowah County,2041,913.057,573.4,382.267,325.444,443.654,Low,0.016826823912766513
01057,AL,Alabama,Fayette County,2026,166.401,104.5,69.667,59.311,80.854,High,0.002995732998363071
01057,AL,Alabama,Fayette County,2030,160.294,100.664,67.11,57.134,77.887,Moderate,0.00302863695853128
01057,AL,Alabama,Fayette County,2035,146.33,91.895,61.263,52.157,71.102,Moderate,0.002649220000750838
01057,AL,Alabama,Fayette County,2041,130.557,81.99,54.66,46.535,63.438,Low,0.0024060430224889435
01059,AL,Alabama,Franklin County,2026,345.652,217.069,144.713,123.202,167.952,High,0.00622280679745423
01059,AL,Alabama,Franklin County,2030,352.692,221.491,147.66,125.711,171.373,Moderate,0.006663868883766441
01059,AL,Alabama,Franklin County,2035,342.92,215.354,143.569,122.228,166.625,Moderate,0.006208385627426212
01059,AL,Alabama,Franklin County,2041,351.864,220.971,147.314,125.416,170.971,Low,0.00648454287900789
01061,AL,Alabama,Geneva County,2026,270.536,169.896,113.264,96.428,131.453,High,0.004870481958430013
01061,AL,Alabama,Geneva County,2030,267.114,167.748,111.832,95.208,129.791,Moderate,0.005046932684430994
01061,AL,Alabama,Geneva County,2035,266.6,167.425,111.616,95.025,129.541,Moderate,0.004826641492185345
01061,AL,Alabama,Geneva County,2041,263.629,165.559,110.373,93.966,128.097,Low,0.004858443523462564
01063,AL,Alabama,Greene County,2026,60.214,37.815,25.21,21.462,29.258,Moderate,0.0010840446230807135
01063,AL,Alabama,Greene County,2030,53.62,33.673,22.449,19.112,26.054,Moderate,0.001013106841566055
01063,AL,Alabama,Greene County,2035,52.582,33.021,22.014,18.742,25.549,Moderate,0.0009519645135534709
01063,AL,Alabama,Greene County,2041,45.745,28.728,19.152,16.305,22.228,Low,0.0008430467738194566
01065,AL,Alabama,Hale County,2026,162.761,102.214,68.143,58.013,79.085,High,0.0029301987257808002
01065,AL,Alabama,Hale County,2030,141.285,88.727,59.151,50.359,68.651,Moderate,0.0026694885714177393
01065,AL,Alabama,Hale County,2035,157.18,98.709,65.806,56.024,76.374,Moderate,0.0028456665566925082
01065,AL,Alabama,Hale County,2041,152.641,95.858,63.906,54.406,74.168,Low,0.002813032918121274
01067,AL,Alabama,Henry County,2026,175.191,110.02,73.347,62.444,85.125,High,0.003153979797577368
01067,AL,Alabama,Henry County,2030,169.399,106.383,70.922,60.38,82.311,Moderate,0.003200682665790782
01067,AL,Alabama,Henry County,2035,187.929,118.02,78.68,66.984,91.315,Moderate,0.003402356577962311
01067,AL,Alabama,Henry County,2041,195.677,122.885,81.924,69.746,95.08,Low,0.0036061599921851204
01069,AL,Alabama,Houston County,2026,1132.634,711.294,474.196,403.708,550.347,High,0.020390914669135816
01069,AL,Alabama,Houston County,2030,998.643,627.148,418.099,355.95,485.241,High,0.018868674817787857
01069,AL,Alabama,Houston County,2035,997.075,626.163,417.442,355.391,484.479,Moderate,0.018051498631817535
01069,AL,Alabama,Houston County,2041,948.755,595.818,397.212,338.168,461.0,Low,0.017484698408128403
01071,AL,Alabama,Jackson County,2026,542.866,340.92,227.28,193.495,263.778,High,0.00977326211075879
01071,AL,Alabama,Jackson County,2030,529.922,332.791,221.861,188.882,257.489,Moderate,0.010012505154035511
01071,AL,Alabama,Jackson County,2035,527.728,331.413,220.942,188.1,256.423,Moderate,0.009554227585127528
01071,AL,Alabama,Jackson County,2041,552.812,347.166,231.444,197.041,268.611,Low,0.010187830477808524
01073,AL,Alabama,Jefferson County,2026,7492.602,4705.354,3136.903,2670.613,3640.655,High,0.1348900300708201
01073,AL,Alabama,Jefferson County,2030,6748.164,4237.847,2825.231,2405.271,3278.933,High,0.1275018758721646
01073,AL,Alabama,Jefferson County,2035,6613.92,4153.542,2769.028,2357.421,3213.704,High,0.11974146431516089
01073,AL,Alabama,Jefferson County,2041,5788.477,3635.164,2423.442,2063.206,2812.621,Moderate,0.10667644514197296
01075,AL,Alabama,Lamar County,2026,152.594,95.829,63.886,54.39,74.145,High,0.002747165291011663
01075,AL,Alabama,Lamar County,2030,113.58,71.328,47.552,40.484,55.188,Moderate,0.0021460081248702487
01075,AL,Alabama,Lamar County,2035,116.652,73.258,48.838,41.579,56.681,Moderate,0.0021119276182566854
01075,AL,Alabama,Lamar County,2041,144.505,90.749,60.499,51.506,70.215,Low,0.0026630905388307495
01077,AL,Alabama,Lauderdale County,2026,1140.368,716.151,477.434,406.465,554.105,High,0.020530150194712313
01077,AL,Alabama,Lauderdale County,2030,1199.14,753.06,502.04,427.414,582.662,Moderate,0.022656922479796456
01077,AL,Alabama,Lauderdale County,2035,1159.351,728.073,485.382,413.231,563.329,Moderate,0.02098943165190773
01077,AL,Alabama,Lauderdale County,2041,1129.917,709.588,473.058,402.74,549.027,Low,0.02082335230503737
01079,AL,Alabama,Lawrence County,2026,333.231,209.269,139.513,118.774,161.917,High,0.0059991808812868705
01079,AL,Alabama,Lawrence County,2030,287.644,180.641,120.427,102.526,139.766,Moderate,0.0054348404568331605
01079,AL,Alabama,Lawrence County,2035,320.221,201.099,134.066,114.137,155.595,Moderate,0.005797431667657565
01079,AL,Alabama,Lawrence County,2041,311.972,195.919,130.612,111.197,151.587,Low,0.005749370828660906
01081,AL,Alabama,Lee County,2026,2343.045,1471.432,980.955,835.139,1138.486,High,0.04218206922053207
01081,AL,Alabama,Lee County,2030,2604.646,1635.718,1090.479,928.383,1265.598,High,0.04921298061725607
01081,AL,Alabama,Lee County,2035,2706.049,1699.399,1132.933,964.526,1314.869,Moderate,0.048991565860924735
01081,AL,Alabama,Lee County,2041,2692.872,1691.124,1127.416,959.829,1308.467,Moderate,0.04962721755450482
01083,AL,Alabama,Limestone County,2026,1261.245,792.062,528.041,449.55,612.839,High,0.022706317293300554
01083,AL,Alabama,Limestone County,2030,1258.567,790.38,526.92,448.595,611.538,High,0.023779757975637594
01083,AL,Alabama,Limestone County,2035,1423.804,894.149,596.099,507.491,691.826,Moderate,0.025777199135774222
01083,AL,Alabama,Limestone County,2041,1690.98,1061.936,707.957,602.722,821.647,Low,0.031163247492919044
01085,AL,Alabama,Lowndes County,2026,88.465,55.556,37.038,31.532,42.985,Moderate,0.0015926511889997551
01085,AL,Alabama,Lowndes County,2030,62.17,39.043,26.028,22.159,30.208,Moderate,0.0011746555398307122
01085,AL,Alabama,Lowndes County,2035,64.093,40.251,26.834,22.845,31.143,Moderate,0.0011603722312314695
01085,AL,Alabama,Lowndes County,2041,65.014,40.829,27.219,23.173,31.59,Low,0.0011981479548480217
01087,AL,Alabama,Macon County,2026,210.666,132.298,88.199,75.089,102.363,High,0.0037926470004108616
01087,AL,Alabama,Macon County,2030,186.186,116.925,77.95,66.363,90.468,Moderate,0.0035178484708829182
01087,AL,Alabama,Macon County,2035,256.819,161.283,107.522,91.539,124.789,Moderate,0.004649575534446065
01087,AL,Alabama,Macon County,2041,313.558,196.914,131.276,111.763,152.358,Low,0.005778591563337154
01089,AL,Alabama,Madison County,2026,5143.647,3230.21,2153.474,1833.367,2499.298,High,0.09260157823532211
01089,AL,Alabama,Madison County,2030,5004.646,3142.918,2095.278,1783.823,2431.757,High,0.09455930449056463
01089,AL,Alabama,Madison County,2035,5501.628,3455.022,2303.348,1960.964,2673.241,High,0.09960401725329311
01089,AL,Alabama,Madison County,2041,5771.183,3624.303,2416.202,2057.042,2804.218,Moderate,0.10635772152737881
01091,AL,Alabama,Marengo County,2026,185.682,116.608,77.739,66.183,90.223,High,0.0033428556333484584
01091,AL,Alabama,Marengo County,2030,141.179,88.661,59.107,50.321,68.599,Moderate,0.0026674859060630174
01091,AL,Alabama,Marengo County,2035,158.891,99.784,66.522,56.634,77.205,Moderate,0.002876639696958293
01091,AL,Alabama,Marengo County,2041,126.485,79.433,52.955,45.084,61.459,Low,0.0023310140605929527
01093,AL,Alabama,Marion County,2026,270.535,169.896,113.264,96.428,131.453,High,0.004870459767201273
01093,AL,Alabama,Marion County,2030,258.824,162.541,108.361,92.253,125.763,Moderate,0.0048902972896826226
01093,AL,Alabama,Marion County,2035,255.598,160.516,107.011,91.104,124.195,Moderate,0.004627472696045246
01093,AL,Alabama,Marion County,2041,237.641,149.238,99.492,84.703,115.47,Low,0.004379506324788384
01095,AL,Alabama,Marshall County,2026,1119.915,703.307,468.871,399.175,544.167,High,0.020161935814962836
01095,AL,Alabama,Marshall County,2030,1061.77,666.791,444.528,378.45,515.914,High,0.02006140034030224
01095,AL,Alabama,Marshall County,2035,1188.996,746.689,497.793,423.798,577.733,Moderate,0.021526125482201692
01095,AL,Alabama,Marshall County,2041,1371.976,861.601,574.4,489.018,666.643,Low,0.025284279921349608
01097,AL,Alabama,Mobile County,2026,4071.851,2557.122,1704.748,1451.343,1978.512,High,0.07330592865256266
01097,AL,Alabama,Mobile County,2030,3534.302,2219.542,1479.695,1259.743,1717.317,High,0.06677818468251297
01097,AL,Alabama,Mobile County,2035,3574.05,2244.503,1496.336,1273.911,1736.631,High,0.06470625314596919
01097,AL,Alabama,Mobile County,2041,3130.405,1965.894,1310.596,1115.781,1521.064,Moderate,0.057690552192026866
01099,AL,Alabama,Monroe County,2026,203.779,127.973,85.315,72.633,99.016,High,0.0036686453696091223
01099,AL,Alabama,Monroe County,2030,150.267,94.368,62.912,53.56,73.015,Moderate,0.0028391991645128688
01099,AL,Alabama,Monroe County,2035,142.345,89.393,59.595,50.737,69.166,Moderate,0.0025770859290994816
01099,AL,Alabama,Monroe County,2041,139.25,87.449,58.299,49.633,67.662,Low,0.002566255058040833
01101,AL,Alabama,Montgomery County,2026,2526.859,1586.868,1057.912,900.657,1227.801,High,0.04549129487578241
01101,AL,Alabama,Montgomery County,2030,2347.988,1474.537,983.024,836.901,1140.888,High,0.04436360745381671
01101,AL,Alabama,Montgomery County,2035,2395.105,1504.126,1002.75,853.695,1163.781,Moderate,0.04336208027776483
01101,AL,Alabama,Montgomery County,2041,2221.757,1395.264,930.176,791.908,1079.552,Moderate,0.040944994644123975
01103,AL,Alabama,Morgan County,2026,1336.967,839.615,559.744,476.54,649.632,High,0.024069547751202916
01103,AL,Alabama,Morgan County,2030,1279.929,803.795,535.864,456.209,621.918,High,0.02418336950071982
01103,AL,Alabama,Morgan County,2035,1233.16,774.424,516.283,439.539,599.192,Moderate,0.022325696889235008
01103,AL,Alabama,Morgan County,2041,1234.198,775.077,516.718,439.909,599.697,Low,0.022745171052075176
01105,AL,Alabama,Perry County,2026,108.314,68.021,45.347,38.607,52.63,Moderate,0.0019499792204984757
01105,AL,Alabama,Perry County,2030,71.012,44.595,29.73,25.311,34.505,Moderate,0.0013417171813639118
01105,AL,Alabama,Perry County,2035,64.893,40.753,27.169,23.13,31.532,Moderate,0.0011748572747472658
01105,AL,Alabama,Perry County,2041,54.568,34.269,22.846,19.45,26.514,Low,0.0010056337149910064
01107,AL,Alabama,Pickens County,2026,168.132,105.587,70.391,59.928,81.695,High,0.0030269015212345137
01107,AL,Alabama,Pickens County,2030,149.634,93.97,62.647,53.335,72.707,Moderate,0.0028272318698763514
01107,AL,Alabama,Pickens County,2035,143.536,90.141,60.094,51.161,69.744,Moderate,0.002598642068577476
01107,AL,Alabama,Pickens County,2041,134.069,84.195,56.13,47.787,65.144,Low,0.002470770650140193
01109,AL,Alabama,Pike County,2026,316.396,198.697,132.464,112.774,153.737,High,0.0056961025720388535
01109,AL,Alabama,Pike County,2030,314.017,197.203,131.469,111.926,152.581,Moderate,0.005933136279730875
01109,AL,Alabama,Pike County,2035,366.688,230.28,153.52,130.7,178.174,Moderate,0.006638690191532177
01109,AL,Alabama,Pike County,2041,374.427,235.14,156.76,133.458,181.934,Low,0.0069003505906618055
01111,AL,Alabama,Randolph County,2026,315.505,198.137,132.091,112.457,153.304,High,0.005680067573385281
01111,AL,Alabama,Randolph County,2030,289.837,182.017,121.345,103.307,140.832,Moderate,0.005476261133159454
01111,AL,Alabama,Randolph County,2035,291.304,182.939,121.959,103.83,141.545,Moderate,0.0052739027252485275
01111,AL,Alabama,Randolph County,2041,278.05,174.616,116.41,99.106,135.105,Low,0.0051242197943648145
01113,AL,Alabama,Russell County,2026,597.985,375.534,250.356,213.142,290.561,High,0.01076557444125606
01113,AL,Alabama,Russell County,2030,607.438,381.471,254.314,216.511,295.154,Moderate,0.01147711002267504
01113,AL,Alabama,Russell County,2035,552.483,346.959,231.306,196.923,268.451,Moderate,0.01000240564835072
01113,AL,Alabama,Russell County,2041,475.852,298.835,199.223,169.609,231.216,Low,0.00876951658290926
01115,AL,Alabama,St. Clair County,2026,988.449,620.746,413.831,352.316,480.287,High,0.01779514299444652
01115,AL,Alabama,St. Clair County,2030,944.669,593.252,395.501,336.711,459.015,High,0.01784885827338961
01115,AL,Alabama,St. Clair County,2035,966.32,606.849,404.566,344.429,469.535,Moderate,0.01749469757306382
01115,AL,Alabama,St. Clair County,2041,888.385,557.906,371.937,316.65,431.666,Low,0.01637213567041969
01117,AL,Alabama,Shelby County,2026,2702.8,1697.358,1131.572,963.368,1313.29,High,0.04865876057892984
01117,AL,Alabama,Shelby County,2030,2454.185,1541.228,1027.486,874.753,1192.489,High,0.046370125067123104
01117,AL,Alabama,Shelby County,2035,2227.399,1398.807,932.538,793.919,1082.293,Moderate,0.040325864520637085
01117,AL,Alabama,Shelby County,2041,2242.614,1408.361,938.908,799.342,1089.686,Moderate,0.0413293584495791
01119,AL,Alabama,Sumter County,2026,128.576,80.746,53.83,45.829,62.475,High,0.002314761080062967
01119,AL,Alabama,Sumter County,2030,139.246,87.447,58.298,49.632,67.66,Moderate,0.002630962115105136
01119,AL,Alabama,Sumter County,2035,145.696,91.497,60.998,51.931,70.794,Moderate,0.002637746315668956
01119,AL,Alabama,Sumter County,2041,128.926,80.965,53.977,45.953,62.645,Low,0.0023759838446188388
01121,AL,Alabama,Talladega County,2026,829.819,521.126,347.418,295.775,403.209,High,0.014939310781111896
01121,AL,Alabama,Talladega County,2030,694.379,436.07,290.713,247.5,337.399,Moderate,0.013119813824986858
01121,AL,Alabama,Talladega County,2035,611.009,383.714,255.809,217.784,296.889,Moderate,0.011061990520194064
01121,AL,Alabama,Talladega County,2041,599.184,376.288,250.859,213.569,291.144,Low,0.011042430785836487
