county_fips,state,state_name,county_name,graduates_2026,change_2026_from_2026,pct_change_2026_from_2026,confidence_2026,graduates_2030,change_2030_from_2026,pct_change_2030_from_2026,confidence_2030,graduates_2035,change_2035_from_2026,pct_change_2035_from_2026,confidence_2035,graduates_2041,change_2041_from_2026,pct_change_2041_from_2026,confidence_2041
41065,OR,Oregon,Wasco County,280.5726165004411,0.0,0.0,High,227.0602504078547,-53.512366092586376,-0.1907255482022503,Moderate,257.3866548153749,-23.18596168506616,-0.08263800642508434,Moderate,242.0708189819053,-38.501797518535795,-0.13722578489221615,Low
41067,OR,Oregon,Washington County,6087.953350366911,0.0,0.0,High,5502.640081293332,-585.3132690735792,-0.09614286368312974,High,5158.402892174537,-929.5504581923742,-0.15268685627105727,High,4679.213600898094,-1408.7397494688166,-0.23139792117229585,Moderate
41069,OR,Oregon,Wheeler County,9.685228159707115,0.0,0.0,Moderate,4.399055754679538,-5.286172405027577,-0.5457974058906871,Moderate,9.269733351910034,-0.4154948077970815,-0.04289984716370854,Moderate,9.983334159551363,0.2981059998442479,0.030779450409277986,Low
41071,OR,Oregon,Yamhill County,1356.87024205334,0.0,0.0,High,1229.5942255616262,-127.27601649171379,-0.09380117018345702,High,1264.9731308709572,-91.89711118238279,-0.0677272655366925,Moderate,1037.1373535270955,-319.73288852624455,-0.23563998871579317,Low
42001,PA,Pennsylvania,Adams County,1302.7107409912155,0.0,0.0,High,1137.3488095932994,-165.36193139791612,-0.12693679893365617,High,1065.27901777012,-237.43172322109558,-0.18225974174469217,Moderate,982.7598666856853,-319.9508743055302,-0.24560392743985804,Low
42003,PA,Pennsylvania,Allegheny County,12297.48262922953,0.0,0.0,High,11279.003873364945,-1018.478755864584,-0.08282010120053285,High,10991.319519018409,-1306.1631102111205,-0.1062138609658646,High,9608.60400695519,-2688.87862227434,-0.21865276848476478,Moderate
42005,PA,Pennsylvania,Armstrong County,581.0898387071045,0.0,0.0,High,521.7397703596408,-59.35006834746366,-0.10213578760818565,Moderate,489.0458313818997,-92.0440073252048,-0.15839892765978847,Moderate,433.82916194735697,-147.26067675974753,-0.2534215313201743,Low
42007,PA,Pennsylvania,Beaver County,1511.8102839166702,0.0,0.0,High,1382.0469229880332,-129.76336092863698,-0.08583309844437426,High,1299.7790275491477,-212.03125636752247,-0.14024991007351117,Moderate,1225.9973698366773,-285.8129140799929,-0.18905342629336597,Low
42009,PA,Pennsylvania,Bedford County,390.39627406678846,0.0,0.0,High,384.7462770497392,-5.649997017049259,-0.01447246654839407,Moderate,411.66175554754204,21.26548148075358,0.05447152776134212,Moderate,411.24240174955537,20.846127682766905,0.05339735306797677,Low
42011,PA,Pennsylvania,Berks County,5119.297273945859,0.0,0.0,High,4759.733207447253,-359.5640664986058,-0.07023699684887819,High,4692.79053816997,-426.50673577588896,-0.08331353171196987,High,4510.24106988836,-609.0562040574996,-0.11897261898761557,Moderate
42013,PA,Pennsylvania,Blair County,1134.5143379738695,0.0,0.0,High,966.1786961395605,-168.33564183430894,-0.1483768306841673,High,931.7570785361075,-202.75725943776195,-0.1787172296119821,Moderate,823.5229351999257,-310.99140277394383,-0.2741185301627336,Low
42015,PA,Pennsylvania,Bradford County,611.8710833931397,0.0,0.0,High,569.9288053398268,-41.94227805331286,-0.068547573486757,Moderate,552.2357891133554,-59.63529427978426,-0.09746382187090119,Moderate,469.5869066861724,-142.28417670696723,-0.2325394688010558,Low
42017,PA,Pennsylvania,Bucks County,6253.848005723747,0.0,0.0,High,5685.218923763711,-568.6290819600354,-0.09092467252795489,High,5429.407544467804,-824.4404612559429,-0.13182930901124956,High,4981.413022132398,-1272.434983591349,-0.20346432827065364,Moderate
42019,PA,Pennsylvania,Butler County,2380.8873221141066,0.0,0.0,High,2179.88873456678,-200.99858754732668,-0.08442171356889339,High,2185.493608227116,-195.39371388699055,-0.08206760230613974,Moderate,1967.624033542084,-413.2632885720227,-0.17357532409600385,Moderate
42021,PA,Pennsylvania,Cambria County,1445.329651139474,0.0,0.0,High,1322.0775251512414,-123.25212598823259,-0.08527613468046036,High,1219.1095594835042,-226.22009165596978,-0.1565179898424014,Moderate,1164.2708837758971,-281.05876736357686,-0.19445997467912923,Low
42023,PA,Pennsylvania,Cameron County,30.226209912253204,0.0,0.0,Moderate,42.101741487727296,11.875531575474092,0.39288854308723464,Moderate,32.98073834922407,2.7545284369708654,0.0911304607811323,Moderate,20.72399100600481,-9.502218906248395,-0.3143701752165875,Low
42025,PA,Pennsylvania,Carbon County,626.8863247034008,0.0,0.0,High,522.8965534713786,-103.98977123202212,-0.16588297931243423,Moderate,520.317324140657,-106.56900056274378,-0.16999732864353811,Moderate,497.51288678695494,-129.37343791644582,-0.20637463734379013,Low
42027,PA,Pennsylvania,Centre County,1441.5600426222961,0.0,0.0,High,1378.43326535709,-63.1267772652061,-0.04379059865614354,High,1318.968710347077,-122.5913322752192,-0.08504073965050896,Moderate,1128.2929844539667,-313.2670581683294,-0.2173111413371831,Low
42029,PA,Pennsylvania,Chester County,6571.028191093097,0.0,0.0,High,6048.205086487863,-522.8231046052342,-0.07956488534228345,High,5759.377823213241,-811.6503678798563,-0.12351953823300177,High,5710.94403937181,-860.0841517212875,-0.1308903457281031,Moderate
42031,PA,Pennsylvania,Clarion County,463.17603194711285,0.0,0.0,High,534.4557215098276,71.2796895627148,0.1538933032934955,Moderate,516.3340962362907,53.1580642891779,0.11476859902640135,Moderate,443.8930608438206,-19.282971103292255,-0.041632057302770864,Low
42033,PA,Pennsylvania,Clearfield County,689.9503382064973,0.0,0.0,High,586.8147850666998,-103.1355531397976,-0.149482574945749,Moderate,534.8668045073623,-155.08353369913505,-0.22477492235494723,Moderate,493.599965627003,-196.35037257949438,-0.28458624006171307,Low
42035,PA,Pennsylvania,Clinton County,491.61666548772513,0.0,0.0,High,467.9020912410703,-23.71457424665482,-0.04823793803476528,Moderate,440.2440113952592,-51.37265409246595,-0.10449738118926455,Moderate,440.7243432381667,-50.89232224955845,-0.10352033570519614,Low
42037,PA,Pennsylvania,Columbia County,733.3620505829288,0.0,0.0,High,861.0097341398964,127.64768355696765,0.17405820693272056,Moderate,925.2570150524064,191.8949644694776,0.261664704789327,Moderate,892.2478814335976,158.88583085066887,0.21665401246815952,Low
42039,PA,Pennsylvania,Crawford County,839.7917142405637,0.0,0.0,High,765.8797661211146,-73.91194811944911,-0.08801223787530321,Moderate,733.029294088395,-106.76242015216872,-0.12712964219790568,Moderate,650.9599966316339,-188.8317176089298,-0.2248554187983305,Low
42041,PA,Pennsylvania,Cumberland County,2880.9649361250285,0.0,0.0,High,2887.554399897498,6.589463772469571,0.0022872419201784844,High,3095.3906146062145,214.42567848118597,0.07442842354395118,Moderate,3019.866477648218,138.90154152318928,0.04821354810031653,Moderate
42043,PA,Pennsylvania,Dauphin County,3075.323977140351,0.0,0.0,High,2980.7573097185104,-94.56666742184052,-0.03075014799246456,High,2875.4480803848824,-199.8758967554686,-0.06499344402124652,Moderate,2685.3817901974585,-389.9421869428925,-0.1267971081555732,Moderate
42045,PA,Pennsylvania,Delaware County,7659.672054634162,0.0,0.0,High,7236.792544411288,-422.87951022287416,-0.055208566007343474,High,6981.238467301758,-678.4335873324044,-0.08857214545131165,High,6789.155074784646,-870.5169798495162,-0.11364937997872204,Moderate
42047,PA,Pennsylvania,Elk County,252.2560540123864,0.0,0.0,High,254.0306400728703,1.7745860604839265,0.007034860144116806,Moderate,225.0411310979609,-27.214922914425472,-0.10788610414515232,Moderate,184.34584590313588,-67.9102081092505,-0.2692114105055966,Low
42049,PA,Pennsylvania,Erie County,3428.435223572204,0.0,0.0,High,2901.9597350499644,-526.4754885222396,-0.1535614512715474,High,2838.2742674658352,-590.1609561063688,-0.17213711726233516,Moderate,2355.3234478500312,-1073.1117757221728,-0.3130033691008637,Moderate
42051,PA,Pennsylvania,Fayette County,1036.0516504080156,0.0,0.0,High,973.5029981048514,-62.548652303164204,-0.060372137121282976,High,961.8720818151215,-74.17956859289404,-0.07159833060801635,Moderate,812.3745979848052,-223.6770524232104,-0.21589372724334965,Low
42053,PA,Pennsylvania,Forest County,41.353087243484204,0.0,0.0,Moderate,28.848009420740045,-12.505077822744159,-0.30239768434010983,Moderate,14.78413374284234,-26.568953500641864,-0.6424902050046626,Moderate,24.68382999157219,-16.669257251912015,-0.4030958354757057,Low
42055,PA,Pennsylvania,Franklin County,1696.076569950894,0.0,0.0,High,1553.625826261199,-142.45074368969495,-0.08398839192373209,High,1524.2098876149118,-171.8666823359822,-0.10133191235638506,Moderate,1453.2876734017823,-242.78889654911177,-0.14314736778431014,Moderate
